City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
284,Puerto Leguizamo,CO,2020-10-28 03:59:30,-0.19,-74.78,74.93,94,95,2.77
285,Sorong,ID,2020-10-28 03:54:54,-0.88,131.25,84.36,70,75,2.86
286,Bambous Virieux,MU,2020-10-28 03:52:57,-20.34,57.76,75.99,74,14,3.0
287,Adre,TD,2020-10-28 03:59:31,13.47,22.2,74.21,26,7,14.12
288,Kamaishi,JP,2020-10-28 03:59:31,39.27,141.88,57.2,50,40,3.36
289,College,US,2020-10-28 03:50:37,64.86,-147.8,28.4,92,90,4.7
290,Baykit,RU,2020-10-28 03:59:32,61.67,96.37,16.36,92,100,14.88
291,Douglas,US,2020-10-28 03:55:39,41.3,-96.17,33.8,55,1,5.82
292,Ponta Delgada,PT,2020-10-28 03:59:32,37.73,-25.67,62.6,63,75,5.19
293,Hambantota,LK,2020-10-28 03:59:32,6.12,81.12,83.82,69,94,5.68
294,Kungalv,SE,2020-10-28 03:59:33,57.87,11.98,48.99,96,94,4.0
295,Lagoa,PT,2020-10-28 03:59:33,39.05,-27.98,62.17,64,100,5.35
296,Sao Joao Da Barra,BR,2020-10-28 03:51:53,-21.64,-41.05,73.98,93,87,11.07
297,Okhotsk,RU,2020-10-28 03:51:52,59.38,143.3,33.22,79,0,4.97
298,Padang,ID,2020-10-28 03:54:55,-0.95,100.35,86.31,57,41,4.0
299,Finsterwalde,DE,2020-10-28 03:59:34,51.63,13.72,46.4,81,75,6.93
300,Severnoye,RU,2020-10-28 03:59:34,56.35,78.36,25.72,95,99,15.05
301,Pacifica,US,2020-10-28 03:46:10,37.61,-122.49,64.4,36,20,9.17
302,Presidencia Roque Saenz Pena,AR,2020-10-28 03:59:34,-26.79,-60.44,65.21,68,0,5.19
